№;Область;ФИЛИАЛ;АДРЕС;ТЕЛЕФОН;ОРИЕНТИР;Город / Район;Цена до офиса 1 кг / Следующий 1 кг;"Срок доставки до офиса
(в часах)";Цена до дома 1кг / Следующий 1 кг;"Срок доставки до дома
(в часах)"
1;Андижан;Kuyganyor (Andijon tumani);ул. А.Қадири, 74;933784237;Давлат хизматлари маркази рўпараси;Куйганёр;;24 (соат 13:00 гача);;(1-3 кунгача)
2;Андижан;Oltinko'l;ул.Чинабад, 37;933817848;Aкмал фарм аптека;Олтинкўл;;24 (соат 13:00 гача);;(1-3 кунгача)
3;Андижан;Qorasuv shaharchasi;ул. Бабуршаха, 1 ;933812141;Халқ банк ёнида (БЕЕЛИНЕ);Қорасув шахарчаси;;24 (соат 13:00 гача);;(1-3 кунгача)
4;Андижан;Marhamat;ул. Буюк Ипак йули, 4;933812063;Мархамат Туман Раддом;Мархамат;;24 (соат 13:00 гача);;(1-3 кунгача)
5;Андижан;Asaka;ул.Умида, 90;933881646;Асака туман (Пожарный);Асака;;24 (соат 13:00 гача);;(1-3 кунгача)
6;Андижан;Izboskan;ул. Накшбанд, 12;933811453;Ипотека ёнида;Избоскан;;24 (соат 13:00 гача);;(1-3 кунгача)
7;Андижан;Xo'jaobod;ул. A.Наваи, 8;933811458;Хўжаобод деҳқон бозори;Хўжобод;;24 (соат 13:00 гача);;(1-3 кунгача)
8;Андижан;Andijon Chem sklad;ул. Соглом авлод 6 проъезд дом, 172;933812526/933810549;Корейский Домлар қаторида;Андижан  3;;24;;(1-2 кунгача)
9;Андижан;Qo‘rg‘ontepa;ул. Мустакиллик, 72;933811482;Шохсарой туйхонаси;Қургонтепа;;24 (соат 13:00 гача);;(1-3 кунгача)
10;Андижан;Chinobod;ул.Хидирова, 2;933811338;Чинобод Туйхонаси ёнида;Чинабод  ;;24 (соат 13:00 гача);;(1-3 кунгача)
11;Андижан;Shahrixon;ул.Чинабад, 37;933811545;Паспор стол;Шахрихон  ;;24 (соат 13:00 гача);;(1-3 кунгача)
12;Андижан;Andijon Yangi shahar;ул. Амира Тимура, 11 Янги шахар;933812527;Хюндай Автосалони олдида;Андижан 2;;24;;(1-2 кунгача)
13;Андижан;Andijon Eski shahar;ул.Узбекистанская, 55 Эски Шахар;933819155;ОЛИМПИК Магазин ёнида;Андижан 1;;24;;(1-2 кунгача)
14;Андижан;Baliqchi;Балыкчи проспект, 8;933774738;Наманган питак ёнида;Балиқчи;;24;;(1-2 кунгача)
15;Андижан;Boʻston;улица Амира Темура, 88А;933778295;Хумо ўқув маркази;Боз;;24;;(1-2 кунгача)
16;Андижан;Buloqboshi;городской посёлок Булакбаши;933775298;Булоқбоши деҳқон бозори;Булоқбоши;;24;;(1-2 кунгача)
17;Бухара;Qorovulbozor;ул. Ибн Сина, 85;933881799;Деҳқон бозор;Караулбазар;;36;;(1-3 кунгача)
18;Бухара;Galaosiyo (Buxoro tumani);ул. Айбека, 179;933811784;Деҳқон бозор;Галаосиё;;36;;(1-2 кунгача)
19;Бухара;Shofirkon;ул. Мустакиллик, 3;933812957;Халқ банк ёнида;Шофиркон;;36;;(1-3 кунгача)
20;Бухара;Olat;ул. Маърифат, 25 ;933881795;Прокуратура рўпараси;Олат;;36;;(1-3 кунгача)
21;Бухара;Qorako'l;ул. Улугбека 178;933881424;Гуллар Чехраси;Каракуль;;36;;(1-3 кунгача)
22;Бухара;Jondor;ул. М.Тароби3 ;933881454;Истирохат боғи;Джандар;;36;;(1-3 кунгача)
23;Бухара;Buxoro Mikrorayon;ул. Мирзы Абдулазима Соми, 48;933815474;7-мкр. Клиника ЗарМед;Бухара  3;;24;;(1-2 кунгача)
24;Бухара;Pehku;ул.Тинчлик, 2;933811314;Ню Бренд дўкони;Пешку;;36;;(1-3 кунгача)
25;Бухара;Buxoro Karvonbozor;Газлийское шоссе, 121;933817383;"Газли шоссе. ""Сайкал"" кафе";Бухара 2 ;;24;;(1-2 кунгача)
26;Бухара;Romitan;ул. Амира Темура, 12;933811379;Ромитан Дехкон бозори;Ромитан  ;;24 (соат 13:00 гача);;(1-3 кунгача)
27;Бухара;Kogon;ул. Проспект Бухара, 46;933817808;Черков рўпарасида;Каган  ;;24 (соат 13:00 гача);;(1-3 кунгача)
28;Бухара;Gijduvon;ул. Юсуф Хамадани 26;933817505;" ""Aртел сервис маркази"" рўпарасида";Гиждуван;;24;;(1-2 кунгача)
29;Бухара;Buxoro;ул.Джалола Икроми;933812464/933819150; ЮСЕЛ офиси ёнида;Бухара 1;;24;;(1-2 кунгача)
30;Джизак;Sharof Rashidov ;ул. Шифокор, 109;933772743;Агробанк;Шароф Рашидов;;24 (соат 13:00 гача);;(1-3 кунгача)
31;Джизак;Gagarin;ул. Узбекистан, 1 ;93388124;Маркет 7я ;Гагарин;;24 (соат 13:00 гача);;(1-3 кунгача)
32;Джизак;G'allaorol;ул. Мустакиллик, 2;933815941;Галлаорол дарвоза аркаси ;Галляарал;;24 (соат 13:00 гача);;(1-3 кунгача)
33;Джизак;Jizzax;Массив Заргарлик, 14А;933814808/933813262;АГРО БАНК рўпарасида;Джиззах;;24;;(1-2 кунгача)
34;Джизак;Zomin;ул. Мустакиллик, 50;933811419;Зомин туйхонаси;Замин;;24;;(1-3 кунгача)
35;Джизак;Jizzax Xayrabod;ул. Д Ёвқачарова, 5;933811416;М-39 Трасса СайқалСити;Джиззах;;24;;(1-2 кунгача)
36;Джизак;Arnasoy;ул. Фурката, 2;933814277;Деҳқон бозор;Арнасай;;24;;(1-3 кунгача)
37;Джизак;Baxmal;ул. Мустакиллик, 38;933882695;Миллий Гвардия рўпарасида;Джиззах;;36;;(1-3 кунгача)
38;Джизак;Doʻstlik;улица Дустлик;933774724;Автовокзал рўпарасида;Дўстлик;;48 (соат 13:00 гача);;(2-3 кунгача)
39;Джизак;Zarbdor;Mustaqillik shoh koʻchasi;933775118;Туман Прокуратураси рўпарасида;Зарбдор;;36;;(1-3 кунгача)
40;Джизак;Zafarobod;Usmon Nosir ko'chasi, 1;933771453;Халк Банк ёнида;Зафаробод;;36;;(1-3 кунгача)
41;Каракалпакстан;Qoʻngʻirot;ул. Тулеген Айбергенова, 11 ;933811359;Кўнғирод Мега ;Кунград  ;;48 (соат 13:00 гача);68000 / 11000;(2-3 кунгача)
42;Каракалпакстан;Shomanay;ул. Узбекистан, 1 ;933785675;Халқ банк ёнида;Шуманай;;48 (соат 13:00 гача);68000 / 11000;(2-3 кунгача)
43;Каракалпакстан;Mangʻit;ул. Тадбиркорлар, 11;933812510;Юсуф  Эшон Бобо масжиди;Мангит ;;48 (соат 13:00 гача);68000 / 11000;(2-3 кунгача)
44;Каракалпакстан;Toʻrtkoʻl;ул. Турткуль, 60;933813436;Гастроном Савдо маркази;Турткуль ;;48 (соат 13:00 гача);63000 / 11000;(2-3 кунгача)
45;Каракалпакстан;Beruniy;ул.Халклар Дустлиги 4;933811798;Қишлок Қурилиш Банк ёнида;Беруни;;36;53000 / 10000;(2-3 кунгача)
